timestamp,cpu_usage_avg,memory_usage_avg,network_latency_avg,pods_per_node_avg,cpu_imbalance,memory_imbalance
2025-11-29 17:50:25.852157,0.02657501174160551,0.17328354222308512,0.08448571428571428,12.25,0.00449689287536557,8.232076792240393e-05
2025-11-29 17:50:56.062408,0.027519166256507754,0.17295045624577218,0.08454285714285714,12.25,0.011473865272061342,0.00010005672150110747
2025-11-29 17:51:26.219837,0.027541656462126873,0.1730224963404611,0.08335714285714285,12.25,0.005315580702930633,0.00010010326876293117
2025-11-29 17:51:56.384246,0.027219549734118366,0.17338453301003226,0.08221428571428571,12.25,0.00898032761718107,0.00025726408863538435
2025-11-29 17:52:26.634147,0.026628585381154934,0.17328831633301348,0.08262857142857143,12.25,0.007565402516203732,0.0001847581560173125
2025-11-29 17:52:56.809239,0.026437432885883717,0.1733179402971847,0.08075714285714286,12.25,0.00760973627794436,4.0813517912884404e-05
2025-11-29 17:53:26.992883,0.02658194767228981,0.17343019308703983,0.0837,12.25,0.0030593361262907567,5.7627572188497554e-05
2025-11-29 17:53:57.234559,0.026420242410175872,0.17340283376475782,0.08451428571428572,12.25,0.011528778235357768,3.3333408517843964e-05
2025-11-29 17:54:27.434634,0.026443385506141438,0.17308804854217044,0.08375714285714286,12.25,0.00267498120318175,5.409563845250904e-05
2025-11-29 17:54:57.605704,0.0263273185660605,0.17298932239711243,0.08161428571428572,12.25,0.006068520831858629,7.30988271101583e-05
